file,status,scan_time
AI_PROJECT_CONTEXT.md,DELETE_REVIEW,2026-07-28 21:07:28.892563
AI_START_HERE.md,DELETE_REVIEW,2026-07-28 21:07:28.893561
backup_delete_files.py,DELETE_REVIEW,2026-07-28 21:07:28.893561
CHANGELOG.md,DELETE_REVIEW,2026-07-28 21:07:28.893561
checkpoint_locations.txt,DELETE_REVIEW,2026-07-28 21:07:28.893561
check_db_tables.py,DELETE_REVIEW,2026-07-28 21:07:28.894558
check_feature_db.py,DELETE_REVIEW,2026-07-28 21:07:28.894558
check_feature_schema.py,DELETE_REVIEW,2026-07-28 21:07:28.894558
check_history_schema.py,DELETE_REVIEW,2026-07-28 21:07:28.894558
check_model_db.py,DELETE_REVIEW,2026-07-28 21:07:28.894558
check_model_history.py,DELETE_REVIEW,2026-07-28 21:07:28.894558
check_old_history.py,DELETE_REVIEW,2026-07-28 21:07:28.894558
check_target_history_schema.py,DELETE_REVIEW,2026-07-28 21:07:28.895555
check_xg_date.py,DELETE_REVIEW,2026-07-28 21:07:28.895555
CLAUDE.md,DELETE_REVIEW,2026-07-28 21:07:28.895555
CLAUDE_backup_20260727_101313.md,DELETE_REVIEW,2026-07-28 21:07:28.895555
CLAUDE_backup_before_AI_Governance.md,DELETE_REVIEW,2026-07-28 21:07:28.895555
CLAUDE_backup_before_AI_Governance_V1.1.md,DELETE_REVIEW,2026-07-28 21:07:28.896552
CLAUDE_backup_before_Change_Control.md,DELETE_REVIEW,2026-07-28 21:07:28.896552
CLAUDE_backup_before_upgrade.md,DELETE_REVIEW,2026-07-28 21:07:28.896552
conftest.py,DELETE_REVIEW,2026-07-28 21:07:28.896552
current_check.txt,DELETE_REVIEW,2026-07-28 21:07:28.896552
database_inspector.py,DELETE_REVIEW,2026-07-28 21:07:28.897550
database_migration_engine_V1.0.py,DELETE_REVIEW,2026-07-28 21:07:28.897550
deploy_ai_intelligence_V2.0.py,DELETE_REVIEW,2026-07-28 21:07:28.897550
deploy_console_v1_1.py,DELETE_REVIEW,2026-07-28 21:07:28.897550
deploy_execution_engine_stabilization_V1.0.py,DELETE_REVIEW,2026-07-28 21:07:28.897550
deploy_frozen_v15_completion.py,DELETE_REVIEW,2026-07-28 21:07:28.897550
deploy_integration_test_V1.5.py,DELETE_REVIEW,2026-07-28 21:07:28.898546
deploy_integration_validation_V1.5.py,DELETE_REVIEW,2026-07-28 21:07:28.898546
deploy_local_console_v1.py,DELETE_REVIEW,2026-07-28 21:07:28.898546
deploy_phase11.py,DELETE_REVIEW,2026-07-28 21:07:28.898546
deploy_phase12.py,DELETE_REVIEW,2026-07-28 21:07:28.899542
deploy_phase13.py,DELETE_REVIEW,2026-07-28 21:07:28.899542
deploy_phase14.py,DELETE_REVIEW,2026-07-28 21:07:28.899542
deploy_phase15.py,DELETE_REVIEW,2026-07-28 21:07:28.899542
deploy_phase16.py,DELETE_REVIEW,2026-07-28 21:07:28.899542
deploy_phase17.py,DELETE_REVIEW,2026-07-28 21:07:28.899542
deploy_phase18_20.py,DELETE_REVIEW,2026-07-28 21:07:28.900542
deploy_phase21_25.py,DELETE_REVIEW,2026-07-28 21:07:28.900542
deploy_phase26_30.py,DELETE_REVIEW,2026-07-28 21:07:28.900542
deploy_phase31_35.py,DELETE_REVIEW,2026-07-28 21:07:28.900542
deploy_phase36_40.py,DELETE_REVIEW,2026-07-28 21:07:28.900542
deploy_phase51_55.py,DELETE_REVIEW,2026-07-28 21:07:28.900542
deploy_phase56_60.py,DELETE_REVIEW,2026-07-28 21:07:28.900542
deploy_remaining_modules_V1.5.py,DELETE_REVIEW,2026-07-28 21:07:28.900542
deploy_remaining_modules_V1.5_FINAL.py,DELETE_REVIEW,2026-07-28 21:07:28.901540
deploy_v15_phase2_patch3.py,DELETE_REVIEW,2026-07-28 21:07:28.901540
final_acceptance_test.py,DELETE_REVIEW,2026-07-28 21:07:28.901540
final_deploy.py,DELETE_REVIEW,2026-07-28 21:07:28.901540
FINAL_FREEZE_REPORT.json,DELETE_REVIEW,2026-07-28 21:07:28.901540
fix_integration_report_schema_V1.5.py,DELETE_REVIEW,2026-07-28 21:07:28.901540
Football_AI_OS_CODE_ONLY_V1.0.zip,DELETE_REVIEW,2026-07-28 21:07:28.902536
Football_AI_OS_First_Audit.md,DELETE_REVIEW,2026-07-28 21:07:28.902536
Football_AI_OS_Phase3_Snapshot.txt,DELETE_REVIEW,2026-07-28 21:07:28.902536
football_v_current_structure.txt,DELETE_REVIEW,2026-07-28 21:07:28.902536
football_v_current_tree.txt,DELETE_REVIEW,2026-07-28 21:07:28.902536
football_v_root_structure.txt,DELETE_REVIEW,2026-07-28 21:07:28.902536
framework_documents_list.txt,DELETE_REVIEW,2026-07-28 21:07:28.902536
framework_migration_report.json,DELETE_REVIEW,2026-07-28 21:07:28.902536
init_Football_AI_OS_v1.ps1,DELETE_REVIEW,2026-07-28 21:07:28.903533
legacy_delete_check.py,DELETE_REVIEW,2026-07-28 21:07:28.903533
migrate_model_history.py,DELETE_REVIEW,2026-07-28 21:07:28.904530
migration_test.py,DELETE_REVIEW,2026-07-28 21:07:28.904530
model_execution_test_v1.py,DELETE_REVIEW,2026-07-28 21:07:28.905525
model_import_test.py,DELETE_REVIEW,2026-07-28 21:07:28.905525
model_import_test_v2.py,DELETE_REVIEW,2026-07-28 21:07:28.905525
MODEL_LAYER_AUDIT_SOURCE.txt,DELETE_REVIEW,2026-07-28 21:07:28.905525
MODEL_LAYER_FULL_AUDIT_SCAN.py,DELETE_REVIEW,2026-07-28 21:07:28.905525
