file,status,time
AI_PROJECT_CONTEXT.md,KEEP,2026-07-28 21:09:30.351366
AI_START_HERE.md,KEEP,2026-07-28 21:09:30.351366
backup_delete_files.py,DELETE_REVIEW,2026-07-28 21:09:30.351366
CHANGELOG.md,KEEP,2026-07-28 21:09:30.351366
checkpoint_locations.txt,KEEP,2026-07-28 21:09:30.351366
check_db_tables.py,DELETE_REVIEW,2026-07-28 21:09:30.351366
check_feature_db.py,DELETE_REVIEW,2026-07-28 21:09:30.351366
check_feature_schema.py,DELETE_REVIEW,2026-07-28 21:09:30.351366
check_history_schema.py,DELETE_REVIEW,2026-07-28 21:09:30.351366
check_model_db.py,DELETE_REVIEW,2026-07-28 21:09:30.351366
check_model_history.py,DELETE_REVIEW,2026-07-28 21:09:30.351366
check_old_history.py,DELETE_REVIEW,2026-07-28 21:09:30.351366
check_target_history_schema.py,DELETE_REVIEW,2026-07-28 21:09:30.351366
check_xg_date.py,DELETE_REVIEW,2026-07-28 21:09:30.351366
CLAUDE.md,KEEP,2026-07-28 21:09:30.351366
CLAUDE_backup_20260727_101313.md,DELETE_REVIEW,2026-07-28 21:09:30.351366
CLAUDE_backup_before_AI_Governance.md,DELETE_REVIEW,2026-07-28 21:09:30.351366
CLAUDE_backup_before_AI_Governance_V1.1.md,DELETE_REVIEW,2026-07-28 21:09:30.351366
CLAUDE_backup_before_Change_Control.md,DELETE_REVIEW,2026-07-28 21:09:30.351366
CLAUDE_backup_before_upgrade.md,DELETE_REVIEW,2026-07-28 21:09:30.351366
conftest.py,DELETE_REVIEW,2026-07-28 21:09:30.351366
current_check.txt,DELETE_REVIEW,2026-07-28 21:09:30.351366
database_inspector.py,DELETE_REVIEW,2026-07-28 21:09:30.351366
database_migration_engine_V1.0.py,KEEP,2026-07-28 21:09:30.351366
deploy_ai_intelligence_V2.0.py,DELETE_REVIEW,2026-07-28 21:09:30.351366
deploy_console_v1_1.py,DELETE_REVIEW,2026-07-28 21:09:30.351366
deploy_execution_engine_stabilization_V1.0.py,DELETE_REVIEW,2026-07-28 21:09:30.351366
deploy_frozen_v15_completion.py,DELETE_REVIEW,2026-07-28 21:09:30.351366
deploy_integration_test_V1.5.py,DELETE_REVIEW,2026-07-28 21:09:30.351366
deploy_integration_validation_V1.5.py,DELETE_REVIEW,2026-07-28 21:09:30.351366
deploy_local_console_v1.py,DELETE_REVIEW,2026-07-28 21:09:30.351366
deploy_phase11.py,DELETE_REVIEW,2026-07-28 21:09:30.351366
deploy_phase12.py,DELETE_REVIEW,2026-07-28 21:09:30.351366
deploy_phase13.py,DELETE_REVIEW,2026-07-28 21:09:30.351366
deploy_phase14.py,DELETE_REVIEW,2026-07-28 21:09:30.351366
deploy_phase15.py,DELETE_REVIEW,2026-07-28 21:09:30.351366
deploy_phase16.py,DELETE_REVIEW,2026-07-28 21:09:30.351366
deploy_phase17.py,DELETE_REVIEW,2026-07-28 21:09:30.351366
